ticker,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",45000,1996862,1818
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",42996,813672,1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",44277,1590895,1973
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",44655,906345,1981
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",20883,16732,1869
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",35977,927628,1994
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",35577,721371,1971
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",40357,1170010,1993
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",36151,815097,1972
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",43924,1783180,"2020 (1915, United Technologies spinoff)"
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",44095,1596783,2007
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",20883,18230,1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",42795,1374310,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",39031,1138118,1906
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",43731,1402057,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",43458,1306830,1918
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",37133,1140859,1985
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",42459,1071739,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",31259,1130310,1882
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",39687,1324404,1946
CHRW,CH Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",39143,1043277,1905
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",44330,1100682,1947
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",35583,316709,1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",42621,1091667,1993
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",20883,93410,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",40661,1058090,1993
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",40374,896159,1985
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",42367,313927,1847
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",27941,1739940,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",35782,20286,1950
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",36951,723254,1929
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",34304,858877,1984
C,Citigroup,Financials,Diversified Banks,"New York City, New York",32294,831001,1998
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",42398,759944,1828
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",25293,21076,1913
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",38940,1156375,1848
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",20883,811156,1886
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",20883,21344,1886
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",39038,1058290,1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",20883,21665,1806
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",37579,1166691,1963
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",35034,28412,1849
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",30559,23217,1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",20883,1163165,2002
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",20883,1047862,1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",38534,16918,1945
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",44594,1868275,1999
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",42636,711404,1958
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",43283,900075,1982
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",34757,24741,1851
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",43619,1755672,2019
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",44823,1057352,1987
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",34243,909832,1976
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",39622,858470,2021 (1989)
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",40982,1051470,1994
CSX,CSX,Industrials,Rail Transportation,"Jacksonville, Florida",20883,277948,1980
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",23832,26172,1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",20883,64803,1996
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",36117,313616,1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",34850,940944,1938
DVA,DaVita Inc.,Health Care,Health Care Services,"Denver, Colorado",39660,927066,1979
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",44459,1725057,1992
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",20883,315189,1837
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",41528,27904,1929
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",39766,818479,2016 (1969)
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",36768,1090012,1971
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",43963,1093557,1999
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",43437,1539838,2007
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",42508,1297996,2004
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",39265,1393612,1985
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",41246,29534,1939
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",40896,935703,1986
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",42704,715957,1983
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",43963,1286681,1960
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",31351,29905,1955
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",43556,1751788,2019 (1897)
DHI,DR Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",38525,882184,1978
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",20883,936340,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",27941,1326160,1904
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",43557,1666700,2017 (1802)
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",34335,915389,1920
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",20883,1551182,1911
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",37459,1065088,1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",32539,31462,1923
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",20883,827052,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",40634,1099800,1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",37459,712515,1982
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",37462,1156039,2014 (1946)
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",25933,59478,1876
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",23832,32604,1890
ENPH,Enphase,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",44203,1463101,2006
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",20883,65984,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",36832,821189,1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",44544,1352010,1993
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",44837,33213,1888
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",35600,33185,1899
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",42083,1101239,1998
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",37228,906107,1969
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",41731,920522,1971
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",38722,1001250,1946
ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",44095,1370637,2005
EG,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",42905,1095073,1973
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",43256,1711269,1909
ES,Eversource,Utilities,Electric Utilities,"Hartford, Connecticut",40018,72741,1966
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",20883,1109357,2000
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",39357,1324424,1996
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",39365,746515,1979
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",42388,1289490,1977
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",20883,34088,1999
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",40532,1048695,1996
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",44550,1013237,1978
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",45005,814547,1956
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",39706,815556,1967
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",42401,34903,1962
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",29586,1048911,1971
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",39031,1136893,1968
FITB,Fifth Third Bank,Financials,Diversified Banks,"Cincinnati, Ohio",35153,35527,1858
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",44914,1274494,1999
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",35762,1031296,1997
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",36983,798354,1984
FLT,Fleetcor,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",43271,1175454,2000
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",40044,37785,1883
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",20883,37996,1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",43384,1262039,2000
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",42552,1659166,2016
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",43528,1754301,2019
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",43528,1754301,2019
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",35915,38777,1947
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",40725,831259,1912
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",41255,1121788,1989
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",42830,749251,1979
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",44930,1932393,1994
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",37705,849399,1982
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",44277,1474735,1959
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",20883,40533,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",20883,40545,1892
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",20883,40704,1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",41431,1467858,1908
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",27029,40987,1925
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",38169,882095,1987
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",42485,1123360,2000
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",32628,320335,1900
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",37459,886982,1869
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",20883,45012,1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",20883,874766,1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30955,46080,1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",42031,860730,1968
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",39538,765880,1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",42080,1000228,1932
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",20883,47111,1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",30833,4447,1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",42310,1645590,2015
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",42905,1585689,1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",42459,859737,1985
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",32233,354950,1978
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",20883,773840,1906
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",39876,48465,1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",39161,1070750,1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",42664,4281,1888
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",27394,47217,1939 (2015)
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",45217,48898,1888
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",41253,49071,1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",35670,49196,1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",43103,1501585,2011
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",20883,51143,1911
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",43686,832101,1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",42740,874716,1983
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",31471,49826,1912
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",42327,1110803,1998
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",42794,879169,1991
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",43893,1699150,1859
PODD,Insulet,Health Care,Health Care Equipment,"Acton, Massachusetts",45000,1145197,2000
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",28125,50863,1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",39351,1571949,2000
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",27850,51253,1958 (1889)
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",20883,51434,1898
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",33878,51644,1961 (1930)
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",36865,896878,1983
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",39601,1035267,1995
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",39681,914208,1935
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",44823,1687229,2012
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",42976,1478242,1982
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",39819,1020569,1951
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",42186,728535,1961
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",45278,898293,1966
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",43417,779152,1976
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",39381,52988,1947
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",26845,200406,1886
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",40417,833444,1885
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",27575,19617,2000 (1799 / 1871)
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",38870,1043604,1996
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",32762,55067,1906
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",45163,1944048,2022 (Johnson & Johnson spinoff)
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",44733,1418135,1981
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",34394,91576,1825
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",43410,1601046,2014 (1939)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",20883,55785,1872
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",38811,879101,1958
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",41054,1506307,1997
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",35703,319201,1975/1977 (1997)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",42191,1637459,2015 (1869)
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",20883,56873,1883
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",39713,202058,"2019 (L3 1997, Harris 1895)"
